,zip_code,State,mean_housing_price
213,28314,NC,110895.62
214,32256,FL,171156.61
215,11233,NY,437736.83
216,23320,VA,212272.22
217,40475,KY,146237.78
218,21740,MD,154006.1
219,92101,CA,480333.61
220,90019,CA,680167.89
221,34711,FL,204594.07
222,30052,GA,179052.64
223,38401,TN,140701.11
224,77095,TX,169764.68
225,07002,NJ,291652.28
226,30041,GA,295401.64
227,60016,IL,237453.01
228,33009,FL,163929.08
229,94536,CA,599346.38
230,89052,NV,331708.85
231,74012,OK,142152.74
232,10457,NY,146553.05
233,80634,CO,226647.77
234,43026,OH,179277.34
235,92592,CA,353195.77
236,43230,OH,167554.54
237,89117,NV,253599.06
238,30080,GA,228151.39
239,20001,DC,431765.21
240,27834,NC,107291.01
241,90280,CA,310756.72
242,29072,SC,196273.44
243,46227,IN,115886.75
244,32244,FL,124948.93
245,21117,MD,242156.08
246,10027,NY,372244.47
247,19111,PA,145177.74
248,90201,CA,309201.93
249,91730,CA,312404.01
250,48103,MI,290932.41
251,11236,NY,362623.13
252,75206,TX,291025.11
253,90004,CA,801113.56
254,37128,TN,180799.42
255,92109,CA,673410.44
256,30062,GA,258913.53
257,60628,IL,96915.75
258,07093,NJ,294317.23
259,32822,FL,124137.04
260,30331,GA,146820.12
261,75217,TX,84245.45
262,02360,MA,312849.58
263,34953,FL,160836.81
264,37130,TN,150691.9
265,33186,FL,226430.08
266,02155,MA,394652.06
267,10701,NY,397938.19
268,33012,FL,178836.03
269,91342,CA,368173.68
270,90706,CA,357231.07
271,92335,CA,232724.4
272,95123,CA,597758.86
273,92021,CA,358927.58
274,32174,FL,195229.24
275,22304,VA,303311.47
276,87121,NM,134854.73
277,11372,NY,245204.64
278,22193,VA,270891.67
279,93065,CA,450001.58
280,27858,NC,150078.38
281,45840,OH,121689.63
282,60649,IL,132702.48
283,33063,FL,135565.51
284,27703,NC,185840.22
285,23454,VA,244249.93
286,60626,IL,194966.38
287,33064,FL,152748.06
288,48185,MI,119257.25
289,92627,CA,613763.9
290,33027,FL,225384.76
291,85705,AZ,116162.08
292,33311,FL,138562.21
293,08831,NJ,344335.37
294,20147,VA,412362.25
295,44130,OH,134589.96
296,90025,CA,691113.48
297,20878,MD,457708.08
298,43228,OH,110405.37
299,30022,GA,329243.36
300,30004,GA,344102.96
301,23666,VA,157327.99
302,85142,AZ,234659.83
303,98682,WA,221805.53
304,95035,CA,647609.36
305,91710,CA,354990.04
306,90011,CA,271063.34
307,23223,VA,134062.87
308,11218,NY,348925.7
309,27713,NC,204482.24
310,77082,TX,135398.19
311,44077,OH,147183.71
312,94544,CA,412724.03
313,43701,OH,85590.26
314,29730,SC,112301.88
315,11223,NY,469760.29
316,60622,IL,414631.9
317,29464,SC,343858.32
318,60616,IL,289640.32
319,27284,NC,156202.14
320,35242,AL,316939.73
321,58103,ND,169996.22
322,80015,CO,276680.42
323,20019,DC,254917.44
324,55901,MN,167931.21
325,10021,NY,856268.97
326,80525,CO,281743.39
327,30127,GA,176118.58
328,97402,OR,188161.28
329,33313,FL,84604.8
330,71913,AR,133878.86
331,90027,CA,882821.38
332,37064,TN,320729.54
333,37066,TN,192235.62
334,98115,WA,494944.38
335,42101,KY,108882.9
336,93727,CA,204843.14
337,94568,CA,627353.46
338,19124,PA,77144.67
339,95051,CA,797083.5
340,91335,CA,369212.26
341,95687,CA,322097.88
342,32828,FL,224006.96
343,32225,FL,180481.17
344,76116,TX,136772.04
345,90731,CA,443741.23
346,77840,TX,151272.87
347,77007,TX,323920.69
348,85251,AZ,222113.77
349,23452,VA,203107.11
350,75150,TX,103737.73
351,30253,GA,154845.97
352,37122,TN,238338.08
353,30135,GA,145191.19
354,73160,OK,116283.94
355,89031,NV,203631.69
356,93550,CA,190964.6
357,43068,OH,144884.86
358,93536,CA,252502.07
359,29681,SC,201036.17
360,60615,IL,225161.22
361,07087,NJ,269123.95
362,40601,KY,119936.74
363,33319,FL,100593.29
364,78501,TX,97131.83
365,98122,WA,453245.85
366,21215,MD,122675.64
367,63123,MO,140260.74
368,14580,NY,176771.62
369,92630,CA,526917.94
370,66061,KS,205573.9
371,14221,NY,182915.52
372,23451,VA,352994.95
373,94509,CA,306643.53
374,11225,NY,391389.13
375,11208,NY,357716.92
376,95758,CA,289271.63
377,93306,CA,168497.32
378,60641,IL,305576.36
379,45601,OH,96321.77
380,78249,TX,160839.76
381,89123,NV,233752.68
382,21122,MD,276541.65
383,89148,NV,256016.74
384,93307,CA,128478.93
385,77057,TX,195211.68
386,19446,PA,267167.68
387,93535,CA,179171.11
388,78254,TX,171173.49
389,94122,CA,874429.21
390,33467,FL,227264.68
391,11101,NY,464059.52
392,77521,TX,130460.89
393,93274,CA,163948.5
394,27707,NC,189275.66
395,46143,IN,170146.08
396,34293,FL,199187.88
397,29445,SC,144169.67
398,98133,WA,350376.13
399,33321,FL,144351.25
400,75070,TX,237613.82
401,60660,IL,227582.54
402,28205,NC,187950.12
403,75002,TX,212463.28
404,60453,IL,197055.21
405,02301,MA,227025.51
406,75043,TX,135981.09
407,93257,CA,146022.5
408,19020,PA,226281.0
409,37167,TN,164313.67
410,28601,NC,139742.9
411,99208,WA,208820.46
412,31088,GA,121369.38
413,11204,NY,519496.28
414,93230,CA,169006.65
415,32246,FL,153252.49
416,11213,NY,471913.4
417,19720,DE,163418.37
418,48823,MI,172719.49
419,70726,LA,151589.21
420,21222,MD,135684.67
421,29579,SC,179219.41
422,31419,GA,147481.62
423,19120,PA,87222.46
424,11219,NY,467918.36
425,38655,MS,173011.11
426,22204,VA,401558.93
427,27519,NC,337113.65
428,37040,TN,137231.79
429,27705,NC,217518.91
430,77346,TX,166920.77
431,93309,CA,167058.75
432,85282,AZ,191719.27
433,20874,MD,264490.6
434,29223,SC,123980.26
435,30909,GA,116330.54
436,29485,SC,189369.73
437,28216,NC,137027.22
438,10032,NY,395322.92
439,94541,CA,423288.91
440,94538,CA,564076.77
441,95076,CA,459495.71
442,36117,AL,170456.98
443,78748,TX,222488.55
444,76179,TX,153573.97
445,90802,CA,270572.31
446,33157,FL,245239.14
447,85383,AZ,307283.44
448,78251,TX,142597.97
449,60085,IL,129215.62
450,78758,TX,184378.38
451,94513,CA,482414.26
452,28215,NC,140873.34
453,32765,FL,235888.21
454,83646,ID,222804.9
455,17331,PA,160138.81
456,60056,IL,298416.67
457,32608,FL,182188.67
458,90631,CA,447187.46
459,31907,GA,101631.9
460,30263,GA,150631.46
461,92104,CA,390329.71
462,77375,TX,168828.21
463,20852,MD,411820.66
464,37421,TN,163818.9
465,60637,IL,172284.14
466,63021,MO,218277.8
467,92647,CA,566863.7
468,37129,TN,175977.8
469,87124,NM,177186.97
470,30906,GA,82147.67
471,32792,FL,180363.96
472,20020,DC,251266.09
473,33511,FL,164019.17
474,15301,PA,132376.45
475,85204,AZ,154057.66
476,92154,CA,336364.79
477,59901,MT,251835.76
478,77083,TX,129543.09
479,75211,TX,103558.23
480,30066,GA,209527.82
481,21224,MD,163699.9
482,97045,OR,294536.59
483,92618,CA,688546.8
484,85345,AZ,145594.59
485,78741,TX,191446.09
486,92115,CA,364399.64
487,83301,ID,152697.01
488,63129,MO,197241.21
489,06516,CT,180036.44
490,01960,MA,338304.06
491,95355,CA,257108.09
492,89110,NV,168766.88
493,11368,NY,253817.95
494,43015,OH,193118.8
495,37027,TN,455809.79
496,85301,AZ,111073.03
497,85022,AZ,202727.81
498,11203,NY,366252.91
499,55124,MN,220368.61
500,94587,CA,544974.96
501,60608,IL,238916.37
502,78664,TX,174639.47
503,33578,FL,159767.26
504,33458,FL,264803.98
505,74133,OK,170996.07
506,95670,CA,258627.99
507,11220,NY,316181.91
508,21061,MD,222278.89
509,19104,PA,107835.84
510,92646,CA,621820.81
511,10031,NY,387776.78
512,42701,KY,136229.7
513,11216,NY,509736.6
514,98632,WA,192820.88
515,28227,NC,165118.19
516,23322,VA,286390.16
517,79924,TX,90566.74
518,92620,CA,682933.2
519,38305,TN,133165.69
520,78753,TX,176802.25
521,70072,LA,139691.28
522,96706,HI,432921.21
523,32825,FL,178365.86
524,97401,OR,255406.49
525,19067,PA,323742.65
526,75098,TX,193274.24
527,19134,PA,68963.55
528,60148,IL,229933.37
529,73013,OK,180077.62
530,30101,GA,211459.04
531,89074,NV,246721.84
532,30058,GA,123682.63
533,32303,FL,125777.68
534,95014,CA,1271840.8
535,33414,FL,283519.27
536,98208,WA,313431.48
537,53704,WI,173636.36
538,28655,NC,132657.83
539,92376,CA,229562.07
540,43229,OH,126611.96
541,95112,CA,541934.59
542,78253,TX,206206.17
543,85008,AZ,133265.95
544,14094,NY,115590.86
545,28210,NC,239185.67
546,45013,OH,130457.33
547,45044,OH,127476.47
548,30083,GA,125680.98
549,89103,NV,141891.66
550,32771,FL,172382.23
551,12180,NY,146420.88
552,94080,CA,646723.86
553,92648,CA,781202.64
554,92130,CA,812563.16
555,80016,CO,407287.52
556,27265,NC,154493.96
557,92105,CA,291348.1
558,33433,FL,229128.86
559,84404,UT,168235.57
560,79424,TX,181529.46
561,47150,IN,122198.68
562,41042,KY,144836.57
563,92122,CA,487112.53
564,77373,TX,120865.45
565,67401,KS,113044.44
566,23455,VA,253371.12
567,20910,MD,450086.84
568,29483,SC,175121.84
569,39759,MS,164435.73
570,85255,AZ,559842.6
571,08759,NJ,167981.52
572,02135,MA,328725.26
573,95648,CA,360815.71
574,19148,PA,147135.28
575,22407,VA,244896.68
576,29588,SC,156125.07
577,33015,FL,196307.21
578,11354,NY,252753.93
579,30047,GA,179331.27
580,48439,MI,159364.94
581,92563,CA,323755.9
582,77070,TX,153811.81
583,27407,NC,125946.24
584,53711,WI,234381.4
585,75204,TX,268915.05
586,07305,NJ,313848.74
587,07047,NJ,288258.92
588,90036,CA,1059044.55
589,94112,CA,695534.6
590,33463,FL,164368.78
591,75068,TX,195133.32
592,76137,TX,146588.0
593,89147,NV,215723.38
594,78759,TX,343112.35
595,45140,OH,221689.02
596,28025,NC,148683.59
597,94087,CA,1125458.12
598,27603,NC,195938.37
599,30075,GA,331235.05
600,02151,MA,280230.76
601,97124,OR,270053.48
602,10014,NY,782895.89
603,95125,CA,840215.3
604,38654,MS,193651.59
605,90640,CA,381281.27
606,75071,TX,240446.48
607,33436,FL,194417.17
608,98109,WA,462155.58
609,01201,MA,155780.87
610,83709,ID,193954.57
611,63301,MO,162693.25
612,08873,NJ,296782.47
613,20904,MD,363214.11
614,06511,CT,176308.05
615,19702,DE,204648.92
616,98034,WA,389087.01
617,76051,TX,251666.35
618,54601,WI,131085.42
619,34668,FL,84455.82
620,78640,TX,156312.29
621,92562,CA,328462.15
622,96815,HI,287089.58
623,19131,PA,91066.98
624,06457,CT,189463.99
625,02780,MA,249619.91
626,17601,PA,212018.18
627,19711,DE,250905.32
628,27529,NC,180997.13
629,47130,IN,118714.12
630,79928,TX,135453.74
631,08527,NJ,304712.95
632,22192,VA,286249.96
633,33141,FL,237195.2
634,22201,VA,498176.75
635,30067,GA,208872.92
636,30114,GA,217170.12
637,59102,MT,213228.73
638,60004,IL,335872.46
639,45040,OH,241205.25
640,48038,MI,172484.97
641,92117,CA,463090.29
642,07306,NJ,331815.14
643,33324,FL,178758.07
644,85201,AZ,134908.51
645,78209,TX,281075.88
646,94086,CA,857810.24
647,32137,FL,210593.94
648,27106,NC,163658.17
649,43302,OH,76698.64
650,11746,NY,483355.8
651,80504,CO,291862.01
652,94806,CA,305603.29
653,10451,NY,284877.57
654,33178,FL,282582.07
655,19144,PA,108851.1
656,23112,VA,215163.67
657,48066,MI,86927.21
658,92128,CA,454851.35
659,80219,CO,200542.72
660,33021,FL,196121.04
661,72034,AR,147086.73
662,94591,CA,333819.72
663,91801,CA,438271.85
664,34748,FL,139587.48
665,29229,SC,153785.27
666,19380,PA,334319.0
667,78223,TX,96493.18
668,91331,CA,319391.64
669,30907,GA,137524.33
670,45424,OH,120869.66
671,07728,NJ,309193.91
672,23456,VA,291501.62
673,85326,AZ,158210.28
674,30144,GA,177582.82
675,28540,NC,136423.95
676,33023,FL,172117.3
677,32839,FL,122814.9
678,70065,LA,182410.33
679,97504,OR,240267.03
680,33914,FL,230544.06
681,92805,CA,401157.99
682,78520,TX,80508.83
683,84015,UT,186859.72
684,90042,CA,447991.07
685,24060,VA,212251.69
686,98225,WA,272687.52
687,77386,TX,191909.83
688,97206,OR,238251.55
689,75034,TX,338275.56
690,92020,CA,389833.62
691,94553,CA,401831.93
692,92201,CA,216159.57
693,75115,TX,153771.29
694,33308,FL,295652.07
695,34698,FL,163610.8
696,94015,CA,652464.31
697,07055,NJ,262681.6
698,10466,NY,328003.71
699,92399,CA,273466.09
700,92882,CA,363849.94
701,07111,NJ,160707.51
702,97702,OR,290451.02
703,29720,SC,120875.72
704,22030,VA,458477.17
705,73505,OK,97496.39
706,58104,ND,243003.02
707,46032,IN,287706.33
708,37043,TN,184198.55
709,10460,NY,163857.49
710,78045,TX,200185.38
711,63366,MO,180702.99
712,23225,VA,165499.63
713,77407,TX,208948.05
714,75093,TX,363695.15
715,30319,GA,402033.34
716,78542,TX,92093.6
717,36695,AL,159981.23
718,39503,MS,127792.96
719,80538,CO,253564.06
720,33418,FL,310034.99
721,38016,TN,172613.3
722,85351,AZ,124904.37
723,33312,FL,203172.9
724,10036,NY,659102.85
725,29414,SC,206940.75
726,19382,PA,351164.66
727,33437,FL,232239.79
728,70119,LA,194410.0
729,11374,NY,246628.07
730,85338,AZ,202061.28
731,28546,NC,139544.49
732,60638,IL,205762.25
733,78228,TX,90936.37
734,56001,MN,175455.1
735,27526,NC,214092.55
736,07003,NJ,277173.12
737,60402,IL,194160.82
738,78665,TX,242441.42
739,93308,CA,166694.67
740,95008,CA,789073.04
741,21218,MD,134579.09
742,88101,NM,147877.74
743,97405,OR,260210.64
744,65202,MO,142619.14
745,27606,NC,210013.02
746,44646,OH,117602.19
747,92656,CA,460802.71
748,92056,CA,377817.87
749,45069,OH,202942.6
750,32068,FL,155680.22
751,23185,VA,267619.7
752,06810,CT,241607.85
753,20850,MD,463809.97
754,78230,TX,195777.56
755,34997,FL,199288.42
756,92704,CA,402272.06
757,19146,PA,226687.25
758,79109,TX,147149.61
759,28645,NC,92542.24
760,99336,WA,172327.89
761,92071,CA,356252.82
762,36830,AL,197512.02
763,80020,CO,270660.05
764,92626,CA,581887.33
765,75007,TX,189210.83
766,53209,WI,77445.15
767,08021,NJ,128960.35
768,48187,MI,218558.26
769,27405,NC,104782.37
770,34221,FL,176706.83
771,78504,TX,141348.36
772,60639,IL,214862.48
773,63303,MO,190450.88
774,95350,CA,213478.17
775,34952,FL,135234.19
776,95624,CA,318412.12
777,27616,NC,178952.02
778,85205,AZ,173780.06
779,85374,AZ,194055.99
780,21206,MD,132951.09
781,75219,TX,220600.25
782,55044,MN,297950.45
783,19145,PA,141660.45
784,96797,HI,465465.87
785,10940,NY,195544.58
786,92509,CA,267673.85
787,29910,SC,248459.51
788,10472,NY,238899.3
789,10473,NY,254730.16
790,19140,PA,38955.37
791,92024,CA,741161.55
792,92553,CA,209114.46
793,04401,ME,138148.18
794,35758,AL,191974.35
795,29607,SC,177497.68
796,33810,FL,145721.25
797,89119,NV,140324.18
798,75703,TX,210102.78
799,22003,VA,434157.24
800,30606,GA,157126.1
801,34741,FL,136008.64
802,78550,TX,93537.71
803,61265,IL,102225.26
804,96720,HI,299197.67
805,19320,PA,199663.2
806,89129,NV,233965.92
807,22554,VA,316132.73
808,33065,FL,154052.84
809,92880,CA,416824.07
810,26003,WV,83618.86
811,92253,CA,387225.91
812,90006,CA,450567.9
813,44124,OH,152972.69
814,12550,NY,205944.42
815,96817,HI,517964.39
816,38017,TN,284047.55
817,11210,NY,424887.36
818,23188,VA,272992.41
819,10033,NY,524079.78
820,75080,TX,204080.34
821,48228,MI,36216.33
822,97223,OR,304247.84
823,89122,NV,180334.46
824,85254,AZ,359737.02
825,70816,LA,163879.16
826,23434,VA,196739.36
827,48044,MI,230554.05
828,20774,MD,271318.46
829,92223,CA,243963.02
830,49009,MI,199719.99
831,28173,NC,329243.33
832,78258,TX,278225.4
833,45238,OH,117474.53
834,63116,MO,109599.02
835,60073,IL,153694.09
836,75040,TX,127356.12
837,33033,FL,177219.78
838,29501,SC,140678.97
839,27613,NC,288609.35
840,95020,CA,562250.08
841,27215,NC,140281.59
842,75231,TX,124202.41
843,29526,SC,150085.76
844,19147,PA,291333.58
845,87109,NM,206377.99
846,65802,MO,96806.89
847,30016,GA,107750.1
848,57106,SD,178496.56
849,77042,TX,165425.58
850,85248,AZ,279558.34
851,76549,TX,127359.8
852,28412,NC,194704.42
853,43235,OH,190665.03
854,98661,WA,204165.53
855,11434,NY,267708.75
856,90255,CA,299259.06
857,60630,IL,300885.09
858,90028,CA,612835.42
859,21228,MD,254215.98
860,73072,OK,178957.25
861,94115,CA,1085607.33
862,92234,CA,234461.6
863,93003,CA,435708.81
864,78681,TX,260946.65
865,75061,TX,130878.23
866,91786,CA,341529.5
867,72701,AR,156979.52
868,85207,AZ,251196.37
869,84043,UT,262846.53
870,47401,IN,207991.87
871,21207,MD,169067.85
872,40324,KY,154482.13
873,98125,WA,387947.13
874,20744,MD,276096.64
875,38111,TN,81731.77
876,75126,TX,203293.03
877,33020,FL,156780.84
878,33614,FL,127973.49
879,78250,TX,123815.16
880,75149,TX,97241.63
881,97301,OR,149436.69
882,97501,OR,186911.84
883,33176,FL,253358.1
884,75025,TX,270695.29
885,17602,PA,150751.23
886,19464,PA,150175.86
887,80123,CO,288911.3
888,37087,TN,186045.94
889,19149,PA,117027.81
890,93312,CA,239207.4
891,55106,MN,144679.42
892,15237,PA,188467.43
893,12065,NY,233281.78
894,87112,NM,165708.58
895,43016,OH,240305.38
896,15642,PA,179303.17
897,07024,NJ,480768.76
898,55337,MN,208045.22
899,60643,IL,180424.24
900,80918,CO,205192.47
901,96789,HI,491706.12
902,80012,CO,195423.06
903,40214,KY,113480.32
904,90024,CA,923631.47
905,85122,AZ,137328.13
906,22314,VA,519183.0
907,28806,NC,173839.77
908,32935,FL,124948.37
909,92057,CA,356309.69
910,57701,SD,152799.25
911,72764,AR,129119.73
912,29651,SC,159670.03
913,32164,FL,157852.23
914,55303,MN,200155.43
915,75024,TX,312471.81
916,46360,IN,114222.64
917,89115,NV,146030.82
918,66502,KS,163380.35
919,47374,IN,86249.05
920,11224,NY,303768.28
921,77063,TX,153824.76
922,34744,FL,180794.18
923,62704,IL,120492.77
924,43615,OH,102776.39
925,63031,MO,106623.77
926,28117,NC,313938.64
927,78216,TX,155225.12
928,54956,WI,143972.11
929,28262,NC,158250.81
930,70001,LA,216025.21
931,34655,FL,188065.17
932,27360,NC,105514.99
933,07083,NJ,282861.6
934,85016,AZ,228829.78
935,70301,LA,171462.66
936,19335,PA,293279.17
937,14120,NY,123321.22
938,20171,VA,485957.99
939,27513,NC,260614.15
940,77081,TX,149785.95
941,80014,CO,199089.04
942,11691,NY,359442.62
943,58201,ND,202933.34
944,53511,WI,86065.17
945,76133,TX,117681.08
946,89502,NV,197556.6
947,33322,FL,124266.45
948,37918,TN,141458.87
949,08054,NJ,220891.45
950,07601,NJ,262262.72
951,67212,KS,127826.16
952,14075,NY,148664.19
953,54115,WI,170821.72
954,10306,NY,397679.45
955,98003,WA,244278.25
956,73120,OK,131127.16
957,98391,WA,299780.02
958,33125,FL,194899.36
959,92708,CA,578595.58
960,01844,MA,277128.62
961,65804,MO,138912.67
962,93063,CA,433631.53
963,77546,TX,195660.25
964,27615,NC,263071.36
965,92103,CA,553250.32
966,70506,LA,147291.3
967,45014,OH,141784.64
968,75063,TX,306795.02
969,77406,TX,229783.09
970,73071,OK,118286.09
971,32837,FL,196671.89
972,98226,WA,278477.2
973,07470,NJ,415798.72
974,85224,AZ,192313.84
975,75074,TX,178589.51
976,45324,OH,104469.62
977,93277,CA,181760.68
978,80229,CO,202750.28
979,43207,OH,94944.12
980,74055,OK,166445.8
981,76010,TX,102232.75
982,13760,NY,107559.75
983,37221,TN,227668.14
984,35215,AL,96383.71
985,10010,NY,647996.48
986,85375,AZ,193930.67
987,29073,SC,130518.48
988,43232,OH,100367.91
989,33615,FL,149109.22
990,78247,TX,145075.4
991,80526,CO,256507.96
992,32216,FL,134513.63
993,80211,CO,343839.31
994,48307,MI,235481.73
995,12866,NY,256927.14
996,30236,GA,112281.22
997,27612,NC,277276.05
998,28110,NC,167117.23
999,87507,NM,231451.65
1000,93720,CA,260221.68
1001,91402,CA,315498.79
1002,32940,FL,227570.62
1003,80537,CO,249355.85
1004,64118,MO,134147.58
1005,44102,OH,83520.28
1006,63136,MO,61558.31
1007,27604,NC,162344.36
1008,96744,HI,587545.01
1009,21401,MD,371980.54
1010,94117,CA,1048289.38
1011,30309,GA,256043.83
1012,60411,IL,101310.09
1013,53081,WI,108259.79
1014,76542,TX,151108.11
1015,87105,NM,129559.29
1016,08053,NJ,253950.76
1017,77396,TX,137514.38
1018,33617,FL,130994.86
1019,78233,TX,117935.58
1020,06492,CT,238455.57
1021,91977,CA,335940.94
1022,48219,MI,30253.59
1023,55104,MN,186749.3
1024,92507,CA,261300.09
1025,14150,NY,105741.03
1026,30032,GA,146808.74
1027,98105,WA,606608.75
1028,55113,MN,223268.1
1029,85283,AZ,197011.32
1030,33142,FL,145828.72
1031,33062,FL,257857.79
1032,92037,CA,1151981.52
1033,91367,CA,542082.34
1034,18103,PA,145408.71
1035,23608,VA,162540.46
1036,94102,CA,627046.76
1037,17701,PA,114621.97
1038,92346,CA,254675.78
1039,33612,FL,114964.74
1040,32259,FL,277821.64
1041,95207,CA,193915.65
1042,19103,PA,393951.01
1043,98270,WA,258390.89
1044,47201,IN,148171.58
1045,00953,LA,66792.83
1046,95831,CA,337688.85
1047,24502,VA,134962.92
1048,96003,CA,276339.78
1049,42301,KY,95155.27
1050,65201,MO,167017.7
1051,32725,FL,129461.28
1052,93436,CA,299566.61
1053,83642,ID,219966.03
1054,97330,OR,256346.28
1055,77008,TX,344038.25
1056,27107,NC,113103.99
1057,94121,CA,1047427.74
1058,35405,AL,149932.86
1059,37660,TN,94221.15
1060,78155,TX,169030.03
1061,19139,PA,59367.65
1062,32703,FL,157422.82
1063,37209,TN,209134.32
